                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.65839,                0.61711,                0.50693,                0.97325,                0.92561,                0.79006,                 0.8867,                0.77271,                0.91096,                 0.8127,                0.90133,                0.56241,                0.50167,                0.30326,                0.48346,                0.86668,              0.0010496,              0.0010496,              0.0010496
                     51,                0.65739,                0.65162,                0.51249,                0.97324,                0.92078,                 0.8118,                0.88274,                0.76777,                0.92798,                0.81815,                0.89339,                0.57552,                0.50692,                0.29307,                0.46781,                0.87474,              0.0010298,              0.0010298,              0.0010298
                     52,                0.65234,                0.62547,                0.50782,                0.97051,                0.92329,                0.83175,                0.88992,                0.78649,                0.92405,                0.83492,                0.86914,                0.54596,                0.48485,                0.30216,                 0.4552,                0.85244,                0.00101,                0.00101,                0.00101
                     53,                0.64555,                0.62974,                 0.4956,                 0.9628,                0.91775,                0.83175,                0.89284,                0.77342,                0.92476,                 0.8381,                0.89321,                0.53601,                 0.4985,                0.29959,                0.46586,                0.88322,              0.0009902,              0.0009902,              0.0009902
                     54,                0.63993,                0.59458,                0.49289,                0.96213,                0.94128,                0.80952,                0.87672,                0.77938,                0.95215,                0.82222,                0.88836,                0.58822,                  0.478,                0.28896,                0.45815,                0.88807,              0.0009704,              0.0009704,              0.0009704
                     55,                0.63599,                 0.6075,                0.49294,                0.97101,                0.93256,                0.81587,                0.88549,                0.77313,                0.93982,                0.82222,                0.88812,                0.55688,                0.49991,                0.29619,                0.46063,                0.87759,              0.0009506,              0.0009506,              0.0009506
                     56,                0.64322,                0.61626,                0.51179,                0.96991,                0.85513,                0.73651,                0.82139,                0.70616,                0.84759,                0.79365,                0.84972,                0.48339,                0.54913,                0.32723,                0.57509,                0.92111,              0.0009308,              0.0009308,              0.0009308
                     57,                0.67609,                0.64344,                0.50915,                0.97975,                0.90968,                    0.8,                0.86435,                0.76214,                0.91407,                0.81051,                0.87752,                0.52812,                0.47993,                0.31896,                0.46617,                0.87307,               0.000911,               0.000911,               0.000911
                     58,                0.62057,                0.60888,                 0.4803,                0.95437,                0.92909,                 0.8127,                0.87107,                0.76378,                0.92164,                0.80635,                0.85204,                0.56092,                0.46534,                0.28102,                0.46409,                 0.8686,              0.0008912,              0.0008912,              0.0008912
                     59,                0.61918,                0.58943,                0.47988,                0.96111,                 0.8993,                0.82213,                0.87577,                 0.7685,                0.93596,                0.83513,                0.89209,                0.57912,                0.47927,                0.29281,                0.46669,                0.86736,              0.0008714,              0.0008714,              0.0008714
                     60,                0.63725,                0.61389,                 0.4935,                0.96628,                0.89446,                0.81905,                0.86676,                 0.7524,                0.90632,                0.82925,                0.87727,                0.52545,                0.48566,                0.30836,                0.48633,                0.87936,              0.0008516,              0.0008516,              0.0008516
                     61,                0.62495,                0.62416,                0.47841,                0.95774,                 0.8829,                0.82222,                  0.866,                0.75801,                0.92134,                0.81809,                0.88252,                0.48924,                0.48664,                0.34368,                0.47499,                0.87762,              0.0008318,              0.0008318,              0.0008318
                     62,                0.62967,                0.59842,                0.48775,                0.96446,                0.91592,                0.79535,                0.86616,                0.74545,                0.91567,                0.79285,                0.85059,                0.51988,                0.52028,                0.31422,                0.49696,                0.88869,               0.000812,               0.000812,               0.000812
                     63,                0.61732,                0.58898,                0.47985,                0.96316,                0.90247,                0.82857,                0.85558,                0.75096,                0.92189,                0.82222,                0.87745,                0.54001,                0.47284,                0.30341,                0.46115,                0.88458,              0.0007922,              0.0007922,              0.0007922
                     64,                0.62083,                0.60293,                0.47017,                0.95924,                0.91222,                0.80635,                0.86373,                0.75629,                 0.9194,                 0.8127,                0.86694,                0.52998,                0.50252,                 0.3064,                0.45785,                0.88212,              0.0007724,              0.0007724,              0.0007724
                     65,                0.60695,                0.60776,                0.46283,                0.95404,                0.93054,                0.80801,                0.86545,                0.77108,                0.93419,                0.81118,                0.85419,                0.49605,                0.47604,                0.31708,                0.45108,                0.87331,              0.0007526,              0.0007526,              0.0007526
                     66,                0.62108,                0.60214,                0.46727,                0.95811,                0.93036,                0.82222,                0.87869,                0.77452,                0.93755,                0.82857,                0.88311,                0.57277,                0.47083,                0.28291,                0.43357,                0.86189,              0.0007328,              0.0007328,              0.0007328
                     67,                0.61325,                0.60669,                0.46699,                0.95052,                0.93159,                0.82134,                0.86797,                0.77457,                0.94599,                  0.834,                0.88127,                0.53824,                0.45081,                0.29393,                0.43192,                0.84335,               0.000713,               0.000713,               0.000713
                     68,                0.61425,                0.61053,                0.46987,                0.95481,                0.90626,                0.76825,                0.86241,                0.75586,                0.88081,                 0.8127,                0.87556,                0.47199,                0.46229,                0.36435,                0.45592,                0.84755,              0.0006932,              0.0006932,              0.0006932
                     69,                0.59217,                 0.6009,                0.45965,                0.94433,                  0.922,                 0.8127,                0.86787,                0.77348,                0.93155,                0.82086,                0.87249,                0.56557,                0.45356,                0.29037,                0.44613,                0.84906,              0.0006734,              0.0006734,              0.0006734
                     70,                0.58126,                 0.5694,                0.44935,                0.94891,                0.90849,                0.78789,                0.85861,                0.76324,                0.92313,                0.80059,                0.88791,                0.54035,                0.45391,                0.30142,                0.45902,                0.84103,              0.0006536,              0.0006536,              0.0006536
                     71,                0.57861,                0.57355,                 0.4495,                 0.9438,                0.88774,                0.79683,                0.85708,                0.75935,                0.90445,                0.81131,                0.87516,                 0.5688,                0.43751,                0.27628,                0.47919,                0.84852,              0.0006338,              0.0006338,              0.0006338
                     72,                0.58058,                0.57415,                0.45762,                0.94142,                 0.8685,                0.79683,                0.86874,                0.75316,                 0.9028,                0.80317,                0.86943,                0.52382,                0.46467,                0.32254,                0.48196,                0.86658,               0.000614,               0.000614,               0.000614
                     73,                 0.5733,                0.57955,                0.44012,                0.94685,                0.91707,                0.80635,                0.85711,                0.75973,                0.92812,                0.81587,                0.88558,                0.55364,                0.44809,                0.28888,                0.45253,                0.86653,              0.0005942,              0.0005942,              0.0005942
                     74,                0.57429,                0.58204,                0.44144,                 0.9366,                0.89561,                0.78413,                0.85397,                0.74914,                0.91296,                0.79916,                0.88086,                 0.5404,                0.46256,                0.29879,                0.47661,                0.84494,              0.0005744,              0.0005744,              0.0005744
                     75,                0.58372,                0.57852,                 0.4515,                  0.943,                0.93385,                0.81587,                0.86983,                0.77192,                0.94549,                 0.8259,                0.88457,                0.55948,                0.45354,                0.28385,                0.42042,                0.85069,              0.0005546,              0.0005546,              0.0005546
                     76,                0.57267,                0.56574,                0.44012,                0.93653,                   0.88,                0.81484,                 0.8653,                0.75363,                0.89974,                0.83175,                0.87679,                0.57581,                0.45704,                0.28045,                0.44977,                0.84917,              0.0005348,              0.0005348,              0.0005348
                     77,                0.57672,                0.58327,                0.43703,                0.94265,                0.93745,                0.80881,                0.86029,                0.76448,                0.94704,                0.81905,                0.87336,                0.56049,                 0.4507,                0.28539,                0.42267,                0.86496,               0.000515,               0.000515,               0.000515
                     78,                0.57884,                0.56755,                0.44261,                0.94514,                0.93985,                0.80635,                0.84793,                0.75673,                0.94554,                0.82676,                0.86887,                0.55068,                0.45229,                0.29227,                0.43207,                0.86567,              0.0004952,              0.0004952,              0.0004952
                     79,                0.57049,                0.58361,                0.43961,                0.94135,                0.91474,                0.82222,                0.86578,                0.77402,                0.93489,                0.82048,                0.88052,                0.60516,                0.42708,                0.27012,                0.41431,                0.85353,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58583,                0.58728,                0.45424,                0.94017,                0.91918,                0.78095,                0.85563,                0.75441,                 0.9162,                0.81587,                0.87517,                0.54096,                0.44997,                0.31729,                0.44354,                0.85416,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57383,                0.60077,                0.43881,                0.93523,                0.92935,                0.83513,                0.85651,                0.76215,                0.93993,                0.84441,                0.87545,                0.55271,                 0.4271,                  0.292,                0.43131,                0.84059,              0.0004358,              0.0004358,              0.0004358
