                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.86587,                0.72375,                0.73165,                 1.0263,                0.87326,                0.80822,                0.85216,                0.66212,                0.85576,                0.78082,                0.82496,                0.46844,                0.89771,                0.56344,                0.78171,                 1.1273,              0.0007724,              0.0007724,              0.0007724
                     65,                0.86053,                0.76075,                0.74412,                 1.0197,                0.87204,                0.84021,                0.85722,                0.65551,                0.84368,                0.81331,                0.81006,                0.43519,                0.90702,                0.61735,                0.77317,                  1.127,              0.0007526,              0.0007526,              0.0007526
                     66,                0.90103,                0.78448,                0.75815,                 1.0437,                0.91006,                0.83562,                0.83732,                0.63313,                0.91006,                0.83562,                0.84274,                0.49506,                0.92076,                0.52102,                0.79045,                 1.1737,              0.0007328,              0.0007328,              0.0007328
                     67,                0.86246,                0.77574,                0.73212,                 1.0357,                0.90613,                0.83562,                0.83989,                0.64169,                0.90613,                0.83562,                0.85176,                 0.4784,                0.89574,                 0.5254,                 0.7754,                 1.1676,               0.000713,               0.000713,               0.000713
                     68,                0.87546,                0.76707,                0.70911,                 1.0454,                0.86546,                0.82192,                0.81169,                0.62679,                0.89626,                0.84932,                0.86089,                0.46792,                 0.8865,                0.52335,                0.78692,                 1.1711,              0.0006932,              0.0006932,              0.0006932
                     69,                0.89829,                0.79672,                0.75658,                 1.0313,                0.88726,                0.86246,                 0.8428,                0.64591,                0.91544,                0.88986,                0.88024,                0.50356,                0.89823,                0.50151,                0.74598,                 1.1841,              0.0006734,              0.0006734,              0.0006734
                     70,                0.85973,                0.75585,                0.70973,                 1.0217,                0.80687,                0.85853,                0.83391,                0.64053,                0.83251,                0.88521,                0.86409,                0.48872,                0.88464,                0.51821,                0.77278,                 1.1493,              0.0006536,              0.0006536,              0.0006536
                     71,                0.87889,                 0.7387,                0.71672,                 1.0123,                0.80265,                0.83562,                0.83577,                0.65138,                0.82929,                0.86301,                0.86156,                0.49739,                0.89591,                0.50174,                0.77125,                 1.1522,              0.0006338,              0.0006338,              0.0006338
                     72,                0.84998,                0.74858,                0.70061,                 1.0164,                0.83814,                0.84932,                0.84464,                0.65912,                0.83814,                0.84932,                0.84606,                0.45797,                0.87848,                0.56995,                0.76527,                 1.1251,               0.000614,               0.000614,               0.000614
                     73,                  0.874,                0.75807,                0.76694,                  1.047,                0.79973,                0.83562,                0.84998,                  0.665,                0.82785,                0.80822,                0.82608,                0.44458,                0.85475,                0.60732,                 0.7368,                 1.0974,              0.0005942,              0.0005942,              0.0005942
                     74,                0.85446,                0.73416,                0.74011,                 1.0365,                0.84279,                0.86301,                0.84952,                0.66951,                0.83358,                0.84932,                 0.8308,                0.48307,                0.83253,                0.55334,                0.75379,                 1.0875,              0.0005744,              0.0005744,              0.0005744
                     75,                0.85206,                0.76372,                0.70727,                 1.0241,                0.88039,                0.86301,                0.84544,                0.66784,                0.88039,                0.86301,                0.83279,                0.48561,                0.83595,                0.53834,                0.75765,                 1.0933,              0.0005546,              0.0005546,              0.0005546
                     76,                0.84696,                0.75016,                 0.6793,                 1.0184,                0.85163,                0.83562,                0.85602,                0.67325,                0.85163,                0.83562,                0.86354,                0.48638,                0.85524,                0.50513,                0.74848,                 1.1065,              0.0005348,              0.0005348,              0.0005348
                     77,                0.83431,                 0.7392,                0.66441,                 1.0075,                0.88268,                0.82457,                0.83901,                0.65594,                0.89735,                0.83827,                0.86062,                0.51544,                0.86008,                0.51802,                0.75483,                 1.1244,               0.000515,               0.000515,               0.000515
                     78,                0.83852,                  0.742,                0.73389,                 1.0237,                0.87093,                0.83192,                0.83204,                0.65245,                0.88503,                0.84361,                0.84615,                0.44163,                0.85567,                0.59771,                 0.7509,                 1.1111,              0.0004952,              0.0004952,              0.0004952
                     79,                0.79495,                 0.7023,                0.67891,                0.99049,                0.85947,                0.82192,                0.84795,                0.66773,                0.85947,                0.82192,                0.83511,                0.48507,                0.83325,                0.55967,                0.73739,                 1.0994,              0.0004754,              0.0004754,              0.0004754
                     80,                  0.836,                0.74322,                0.68956,                 1.0142,                0.87196,                0.83962,                0.85406,                0.67544,                0.87196,                0.83962,                0.83618,                0.48801,                0.82576,                0.60353,                0.71593,                 1.0858,              0.0004556,              0.0004556,              0.0004556
                     81,                0.82136,                0.72716,                0.68781,                 1.0115,                0.87934,                0.84932,                0.84539,                0.65605,                0.86669,                0.80162,                0.81664,                0.46517,                0.85462,                0.61699,                0.70969,                 1.1123,              0.0004358,              0.0004358,              0.0004358
                     82,                0.81382,                0.72596,                0.65688,                 1.0041,                0.86759,                0.84932,                0.83636,                0.64893,                0.85332,                0.83562,                0.82392,                0.47898,                0.85033,                 0.5523,                0.71958,                 1.1245,               0.000416,               0.000416,               0.000416
                     83,                0.82964,                0.72712,                0.67032,                 1.0356,                 0.8962,                0.82796,                0.84743,                0.66082,                0.91103,                0.84166,                0.86333,                0.49861,                 0.8443,                0.50721,                0.73095,                   1.11,              0.0003962,              0.0003962,              0.0003962
                     84,                0.78632,                0.71112,                0.64224,                0.99162,                0.88142,                0.84932,                0.84359,                0.68361,                0.88142,                0.84932,                0.84567,                0.50099,                0.81684,                0.50499,                0.72224,                  1.091,              0.0003764,              0.0003764,              0.0003764
                     85,                0.79926,                0.71223,                0.66973,                 1.0034,                 0.8925,                0.83562,                0.84307,                0.68021,                 0.8925,                0.83562,                0.84058,                0.49298,                0.82037,                0.51512,                0.70822,                 1.0989,              0.0003566,              0.0003566,              0.0003566
                     86,                0.80659,                0.69105,                0.66724,                 1.0044,                 0.9028,                0.83562,                0.86028,                 0.6901,                 0.9028,                0.83562,                0.84752,                0.49276,                0.83458,                0.52924,                0.69948,                 1.1235,              0.0003368,              0.0003368,              0.0003368
